time,temperature_2m_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),apparent_temperature_mean (°C),temperature_2m_min (°C),temperature_2m_max (°C),apparent_temperature_max (°C),weather_code (wmo code),wind_direction_10m_dominant (°),wind_gusts_10m_max (km/h),shortwave_radiation_sum (MJ/m²),daylight_duration (s),sunshine_duration (s),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),precipitation_hours (h),precipitation_sum (mm),et0_fao_evapotranspiration (mm),snowfall_sum (cm),cloud_cover_mean (%),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),visibility_mean (undefined),visibility_max (undefined),visibility_min (undefined),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h)
2/1/2009,14.1,0,12,11,7.9,20.6,17.5,0,215,27.7,16.92,38792.64,35403.46,4.7,2009-02-01T07:45,2009-02-01T18:31,0,0,3.57,0,0,0.7,42,NaN,NaN,NaN,17.1,8.8,215,10.8,5.7
2/2/2009,14.3,0,11.9,11.4,5.8,21.9,19.1,0,74,24.1,17.19,38879.4,35479.76,3.4,2009-02-02T07:44,2009-02-02T18:32,0,0,3.61,0,0,1.1,45,NaN,NaN,NaN,15.1,7.5,74,7.9,1.1
2/3/2009,16.1,0,21.3,12.3,9.2,24,19.5,2,65,41.4,17.27,38967.86,35570.21,6.3,2009-02-03T07:43,2009-02-03T18:33,0,0,4.69,0,3,2.4,43,NaN,NaN,NaN,27.8,15,65,17.3,9
2/4/2009,17.9,0,18.3,15.5,10.9,26.8,24.4,3,90,31.3,17.7,39057.9,35614.48,8.4,2009-02-04T07:43,2009-02-04T18:34,0,0,3.76,0,32,4,46,NaN,NaN,NaN,18.9,8.8,90,9.7,0.4
2/5/2009,18,0,13.6,14.4,11.4,26.4,22.2,0,222,31.3,17.8,39149.4,35718.27,7.8,2009-02-05T07:42,2009-02-05T18:35,0,0,4.68,0,0,-1.6,31,NaN,NaN,NaN,19.9,10,222,11.9,6.5
2/6/2009,15.5,0,9.7,14.4,10.4,22,20.2,3,347,22.7,16.08,39242.27,32732.03,9.6,2009-02-06T07:41,2009-02-06T18:35,0,0,2.94,0,29,9.3,72,NaN,NaN,NaN,14.5,6.8,347,9,2.5
2/7/2009,15.7,0,10.1,14,7.7,23.3,21.3,3,53,23.4,17.45,39336.38,35750.41,6.1,2009-02-07T07:41,2009-02-07T18:36,0,0,3.43,0,31,6.9,62,NaN,NaN,NaN,15.8,7.5,53,9,4.3
2/8/2009,19,0,20.5,15.7,12,27.7,23.1,3,173,36,16.12,39431.62,31341.27,9.6,2009-02-08T07:40,2009-02-08T18:37,0,0,4.95,0,85,2.3,37,NaN,NaN,NaN,22.4,11.7,173,10.1,4.6
2/9/2009,20.5,0,24.2,16.2,16.6,25.3,21.2,3,215,46.8,16.43,39527.91,35343.29,11.5,2009-02-09T07:39,2009-02-09T18:38,0,0,6.05,0,95,0.4,28,NaN,NaN,NaN,32,16.8,215,9.4,7.4
2/10/2009,14.9,0.2,34.9,9.8,11.6,17.4,13.3,51,273,69.5,15.14,39625.11,35417.8,6.2,2009-02-10T07:38,2009-02-10T18:39,1,0.2,4.55,0,45,1.7,42,NaN,NaN,NaN,43.9,23.1,273,20.5,9.7
2/11/2009,15,0,14.5,12.5,10.8,20.3,17.3,1,234,32,17.29,39723.15,36255.81,8.7,2009-02-11T07:37,2009-02-11T18:40,0,0,3.46,0,13,5.3,55,NaN,NaN,NaN,21.6,10.5,234,11.2,6.6
2/12/2009,15.9,0,12.3,13.1,9.5,22.8,20.2,3,196,27.7,18.21,39821.91,35917.07,6.4,2009-02-12T07:37,2009-02-12T18:40,0,0,3.87,0,29,2.5,44,NaN,NaN,NaN,18.9,8.8,196,6.1,1.5
2/13/2009,15.5,0,8.4,12.9,6.7,23.9,21.4,3,194,23.8,18.64,39921.29,36545.47,4.6,2009-02-13T07:36,2009-02-13T18:41,0,0,3.73,0,20,1.6,45,NaN,NaN,NaN,13.2,6,194,6.1,4.5
2/14/2009,17,0,19.4,13.5,10.6,24.5,20.5,0,214,38.9,18.65,40021.21,36584.62,7,2009-02-14T07:35,2009-02-14T18:42,0,0,4.76,0,1,1,37,NaN,NaN,NaN,22.4,12.1,214,11.9,7.2
2/15/2009,14.5,0,21.3,10.4,10.3,19,14.3,3,257,42.5,18.5,40121.55,36684.12,6.4,2009-02-15T07:34,2009-02-15T18:43,0,0,4.34,0,23,-1.6,34,NaN,NaN,NaN,25.1,13.1,257,11.2,7
2/16/2009,13.7,0,25.2,9.8,9.4,18.6,13.8,3,264,47.9,19.07,40222.23,36508.11,5.8,2009-02-16T07:33,2009-02-16T18:44,0,0,4.17,0,22,-0.7,38,NaN,NaN,NaN,25.2,12.9,264,10.8,6.9
2/17/2009,12.3,0,12.7,9.6,5.8,17.9,14.3,3,306,27.4,16.07,40323.16,36512.41,3.2,2009-02-17T07:32,2009-02-17T18:44,0,0,2.95,0,26,3.6,60,NaN,NaN,NaN,17,8.6,306,8.6,5.1
2/18/2009,14.1,0,13.3,11.3,6.6,21.3,18.8,2,83,23.4,18.78,40424.24,36026.43,4,2009-02-18T07:31,2009-02-18T18:45,0,0,3.81,0,6,1.8,49,NaN,NaN,NaN,17.7,8.5,83,10.8,5.9
2/19/2009,18.2,0,35.3,12.9,12,26.7,20.4,3,220,65.2,18.78,40525.38,36618.5,6.1,2009-02-19T07:30,2009-02-19T18:46,0,0,6.64,0,26,-1.9,31,NaN,NaN,NaN,37.8,22.5,220,14.4,12.9
2/20/2009,15.3,0,23.2,12,10.3,20.3,16,1,260,43.2,18.44,40626.58,37031.4,8.2,2009-02-20T07:29,2009-02-20T18:47,0,0,4.22,0,13,4.5,53,NaN,NaN,NaN,28.5,15.1,260,11.2,7.1
2/21/2009,13.8,0,27.4,9.6,9.9,17.3,12,3,279,50.4,14.14,40728.69,28679.54,6.3,2009-02-21T07:28,2009-02-21T18:47,0,0,3.68,0,62,3.3,50,NaN,NaN,NaN,34.1,18,279,22.3,10.4
2/22/2009,13.3,0,22.7,10,8.2,17.7,12.9,3,269,43.9,15.6,40831.87,36309.15,5.9,2009-02-22T07:28,2009-02-22T18:48,0,0,3.28,0,45,3.6,55,NaN,NaN,NaN,24.9,12.6,269,9,5.8
2/23/2009,13.9,0,26.2,10.4,5.2,20,15.5,3,228,47.5,18.03,40936.01,34496.71,3.1,2009-02-23T07:27,2009-02-23T18:49,0,0,4.29,0,21,1.8,49,NaN,NaN,NaN,24.4,12.9,228,5.8,2.1
